ONDE V0.3.0 Path                                ; Comments                                                                                                   ; M or O; D or A; Class                                                           ; Dims       ; Size or content
{probe}/WEDGE_MANUFACTURER                      ;                                                                                                            ; O     ; A     ; H5T_STRING                                                      ; 1          ; [1]
{probe}/WEDGE_SERIAL_NUMBER                     ;                                                                                                            ; O     ; A     ; H5T_STRING                                                      ; 1          ; [1]
{probe}/WEDGE_TAG                               ;                                                                                                            ; O     ; A     ; H5T_STRING                                                      ; 1          ; [1]
{probe}/COUPLING_TYPE                           ; modified enum                                                                                              ; O     ; A     ; H5T_STRING                                                      ; 1          ; 1:IMMERSION,2:WEDGE,3:DIRECT
{probe}/COUPLING_MEDIUM_VELOCITY                ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [2]
{probe}/COUPLING_MEDIUM__DENSITY                ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/PATTERN                                 ; modified enum                                                                                              ; O     ; A     ; H5T_STRING                                                      ; 1          ; 1:SINGLE ELEMENT,2:LINEAR PHASED ARRAY,3:MATRIX PHASED ARRAY
{probe}/PROBE_TOTAL_NUMBER_OF_ELEMENTS          ;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]
{probe}/PROBE_NUMBER_OF_ELEMENTS_DIM_MINOR      ;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]
{probe}/PROBE_ELEMENT_DIM_MAJOR                 ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/PROBE_ELEMENT_DIM_MINOR                 ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/PROBE_ELEMENT_PITCH_DIM_MAJOR           ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/PROBE_ELEMENT_PITCH_DIM_MINOR           ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/PROBE_ELEMENT_NUMBERING                 ;                                                                                                            ; O     ; D     ; H5T_INTEGER                                                     ; 1          ; [N_Elem<p>]
{probe}/PROBE_FOCUSING_SURFACE                  ; modified enum                                                                                              ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; 0:FLAT,1:CYLINDRICAL_INC,�2:CYLINDRICAL_PERP�,3:SPHERICAL,4:BIFOCAL,5:TRIFOCAL
{probe}/PROBE_FOCUSING_SURFACE_PARAMETERS       ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [3]
{probe}/WEDGE_ASSEMBLY_TYPE                     ; modified enum                                                                                              ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; 1:SINGLE,2:DUAL
{probe}/WEDGE_CONTACT_SURFACE                   ; modified enum                                                                                              ; O     ; A     ; H5T_STRING                                                      ; 1          ; 0:PLANAR,1:SPHERICAL,2:CYLINDRICAL_MAJOR,3:CYLINDRICAL_MINOR
{probe}/WEDGE_CURVATURE_RADIUS                  ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/WEDGE_CONTACT_AREA                      ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [3]
{probe}/WEDGE_HEIGHT                            ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/WEDGE_INCIDENCE_ANGLE                   ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/WEDGE_SKEW_ANGLE                        ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/WEDGE_DISORIENTATION_ANGLE              ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/WEDGE_PROBE_SEPARATION                  ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/WEDGE_ROOF_ANGLE                        ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{probe}/WEDGE_SQUINT_ANGLE                      ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{trajectory}/TYPE                               ;                                                                                                            ; M     ; A     ; H5T_STRING                                                      ; 1          ; 'ACQUISITION_TRAJECTORY'
{trajectory}/TRAJECTORY_TYPE                    ; modified enum                                                                                              ; M     ; A     ; H5T_INTEGER                                                     ; 1          ; 1:SPATIAL,2:TIME
{trajectory}/ACQUISITION_RATE                   ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{trajectory}/TRAJECTORY                         ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 2          ; [N_Pos<m>,7]
{trajectory}/GRID_REFERENCE_SPECIMEN            ;                                                                                                            ; O     ; A     ; H5T_STD_REF_OBJ                                                 ; 1          ; [1]
{trajectory}/GRID_CYLINDER_DEFINITION           ; modified enum                                                                                              ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; 1:INNER,2:OUTER
{trajectory}/UV_GRID_FRAME                      ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [3]
{trajectory}/U_GRID_DATA                        ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 1          ; [N_U<m>]
{trajectory}/V_GRID_DATA                        ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 1          ; [N_V<m>]
{trajectory}/GRID_SCAN_TYPE                     ; modified enum                                                                                              ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; 1:COMB,2:RASTER
{trajectory}/U_ENCODER                          ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 2          ; [N_V<m>,N_U<m>]
{trajectory}/V_ENCODER                          ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 2          ; [N_V<m>,N_U<m>]
{trajectory}/PROBE_DIRECTION                    ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 2          ; [3,3]
{ultrasonic_setup}/TYPE                         ;                                                                                                            ; M     ; A     ; H5T_STRING                                                      ; 1          ; 'ULTRASONIC_SETUP'
{ultrasonic_setup}/RECTIFICATION                ; modified enum                                                                                              ; M     ; A     ; H5T_INTEGER                                                     ; 1          ; 0:FULL_WAVE,1:RECTIFIED_POSITIVE,2:RECTIFIED_NEGATIVE,3:RECTIFIED_FULL
{ultrasonic_setup}/FILTER_TYPE                  ; modified enum                                                                                              ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; 0:NO_FILTER,1: LOW_PASS,2:HIGH_PASS,3:BAND_PASS,4:OTHER
{ultrasonic_setup}/FILTER_PARAMETERS            ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; 1,2 or (3,N_DF<m>) according to FILTER_TYPE (see notes)
{ultrasonic_setup}/FILTER_DESCRIPTION           ;                                                                                                            ; O     ; A     ; H5T_STRING                                                      ; 1          ; [1]
{ultrasonic_setup}/TRANSMIT_LAW                 ;                                                                                                            ; M     ; D     ; H5T_STD_REF_OBJ                                                 ; 1 or 2     ; [N_Ascan<m>] or [N_Ascan<m>,N_DF<m>]
{ultrasonic_setup}/RECEIVE_LAW                  ;                                                                                                            ; M     ; D     ; H5T_STD_REF_OBJ                                                 ; 1 or 2     ; [N_Ascan<m>] or [ N_Ascan<m>,N_DF<m>]
{ultrasonic_setup}/ASCAN_SAMPLE_RATE            ;                                                                                                            ; M     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{ultrasonic_setup}/ASCAN_START                  ;                                                                                                            ; M     ; D     ; H5T_FLOAT                                                       ; 1 or 2     ; 1 or [N_Ascan<m>] or [ N_Ascan<m>,N_DF<m>]
{ultrasonic_setup}/SIGNAL                       ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 2          ; [2,N_TSig<m>]
{ultrasonic_setup}/GAIN                         ;                                                                                                            ; M     ; D     ; H5T_FLOAT                                                       ; 1          ; [ N_Ascan<m> ]
{ultrasonic_setup}/TAG                          ;                                                                                                            ; O     ; A     ; H5T_STRING                                                      ; 1          ; [1]
{ultrasonic_setup}/PRF                          ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 1          ; [N_Ascan<m>] or [2]
{ultrasonic_setup}/PHASED_ARRAY_SETUP           ;                                                                                                            ; O     ; A     ; H5T_STD_REF_OBJ                                                 ; 1          ; [1]
{ultrasonic_setup}/TCG_CURVE                    ;                                                                                                            ;       ; D     ; H5T_FLOAT                                                       ; 2          ; [N_Time<m>,N_Ascan<m> ]
{law}/TYPE                                      ;                                                                                                            ; M     ; A     ; H5T_STRING                                                      ; 1          ; 'LAW'
{law}/PROBE                                     ;                                                                                                            ; M     ; D     ; H5T_STD_REF_OBJ                                                 ; 1          ; [N_C<k>]
{law}/ELEMENT                                   ;                                                                                                            ; M     ; D     ; H5T_INTEGER                                                     ; 1          ; [N_C<k>]
{law}/DELAY                                     ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 1          ; [N_C<k>]
{law}/WEIGHTING                                 ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 1          ; [N_C<k>]
{law}/PROPAGATION_LINE                          ;                                                                                                            ; O     ; D     ; H5T_FLOAT                                                       ; 2          ; [4,N_Points<k>]
{phased_array_setup}/TYPE                       ;                                                                                                            ; M     ; A     ; H5T_STRING                                                      ; 1          ; 'PHASED_ARRAY_SETUP'
{phased_array_setup}/EMITTER_Probe              ; type modified to H5T_STD_REF_OBJ                                                                           ; M     ; A     ; H5T_STD_REF_OBJ                                                 ; 1          ; [1]
{phased_array_setup}/RECEIVING_PROBE            ; type modified to H5T_STD_REF_OBJ                                                                           ; M     ; A     ; H5T_STD_REF_OBJ                                                 ; 1          ; [1]
{phased_array_setup}/SEQUENCE_TYPE              ; modified enum                                                                                              ; M     ; A     ; H5T_INTEGER                                                     ; 1          ; 1:ANGLE,2:SSCAN,3:ESCAN,4:COMPOUND,5:FMC,6:PWI,7:CUSTOM
{phased_array_setup}/SEQUENCE_ANGLE_MODE        ; modified enum                                                                                              ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; 1:L,2:T
{phased_array_setup}/BSCAN_ANGLE                ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/SSCAN_STARTING_ANGLE       ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/SSCAN_FINISHING_ANGLE      ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/SSCAN_NUMBER_OF_ANGLES     ;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]
{phased_array_setup}/ESCAN_NUMBER_OF_ELEMENTS   ;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]
{phased_array_setup}/ESCAN_STEP                 ;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]
{phased_array_setup}/ESCAN_ANGLE                ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/PWI_STARTING_ANGLE         ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/PWI_FINISHING_ANGLE        ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/PWI_NUMBER_OF_ANGLES       ;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]
{phased_array_setup}/COMPOUND_INITIAL_ANGLE     ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/COMPOUND_FINAL_ANGLE       ;                                                                                                            ; O     ; A     ; H5T_FLOAT                                                       ; 1          ; [1]
{phased_array_setup}/COMPOUND_NUMBER_OF_ANGLES  ;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]
{phased_array_setup}/COMPOUND_NUMBER_OF_ELEMENTS;                                                                                                            ; O     ; A     ; H5T_INTEGER                                                     ; 1          ; [1]

